,budget (in Million),original_language,runtime,title,movie_id,preprocessed_overview,overview,rating,preprocessed_keywords,preprocessed_genres,preprocessed_cast,preprocessed_director,preprocessed_producer,preprocessed_spoken_languages,preprocessed_production_companies,preprocessed_production_countries,preprocessed_producer_director
0,237,en,162.0,Avatar,19995,22nd centuri parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect alien civil,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,7.3,culture-clash future space-war space-colony society space-travel futuristic romance space alien tribe alien-planet cgi marine soldier battle love-affair anti-war power-relations mind-and-soul 3d,action adventure fantasy science-fiction,sam-worthington zoe-saldana sigourney-weaver stephen-lang michelle-rodriguez,james-cameron,james-cameron jon-landau,English Español,ingenious-film-partners twentieth-century-fox-film-corporation,United-States-of-America United-Kingdom,james-cameron jon-landau
1,300,en,169.0,Pirates of the Caribbean: At World's End,285,captain barbossa long believ dead come back life head edg earth turner elizabeth swann noth quit seem,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,7.0,ocean drug-abuse exotic-island east-india-trading-company love-of-one's-life traitor shipwreck strong-woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,adventure fantasy action,johnny-depp orlando-bloom keira-knightley stellan-skarsgård chow-yun-fat,gore-verbinski,jerry-bruckheimer eric-mcleod chad-oman peter-kohn pat-sandston,English,walt-disney-pictures jerry-bruckheimer-films,United-States-of-America,jerry-bruckheimer eric-mcleod chad-oman peter-kohn pat-sandston gore-verbinski
2,245,en,148.0,Spectre,206647,cryptic messag bond past send trail uncov sinist organ battl polit forc keep secret servic aliv bond peel back layer deceit reveal terribl truth behind spectr,a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,6.3,spy based-on-novel secret-agent sequel mi6 british-secret-service united-kingdom,action adventure crime,daniel-craig christoph-waltz léa-seydoux ralph-fiennes monica-bellucci,sam-mendes,barbara-broccoli michael-g.-wilson,Français English Español Italiano Deutsch,columbia-pictures danjaq,United-Kingdom United-States-of-America,barbara-broccoli michael-g.-wilson sam-mendes
3,250,en,165.0,The Dark Knight Rises,49026,follow death district attorney harvey dent batman assum respons dent crime protect late attorney reput subsequ hunt gotham citi polic depart eight year later batman encount mysteri selina kyle villain bane new terrorist leader overwhelm gotham finest dark knight resurfac protect citi brand enemi,following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy,7.7,dc-comics crime-fighter terrorist secret-identity burglar hostage-drama time-bomb gotham-city vigilante cover-up superhero villainess tragic-hero terrorism destruction catwoman cat-burglar imax flood criminal-underworld batman,action crime drama thriller,christian-bale michael-caine gary-oldman anne-hathaway tom-hardy,christopher-nolan,charles-roven christopher-nolan emma-thomas,English,legendary-pictures warner-bros.,United-States-of-America,charles-roven christopher-nolan emma-thomas
4,260,en,132.0,John Carter,49529,john carter warweari former militari captain who inexplic transport mysteri exot planet barsoom mar reluctantli becom embroil epic conflict world brink collaps carter rediscov human realiz surviv barsoom peopl rest hand,john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,6.1,based-on-novel mars medallion space-travel princess alien steampunk martian escape edgar-rice-burroughs alien-race superhuman-strength mars-civilization sword-and-planet 19th-century 3d,action adventure science-fiction,taylor-kitsch lynn-collins samantha-morton willem-dafoe thomas-haden-church,andrew-stanton,colin-wilson jim-morris lindsey-collins,English,walt-disney-pictures,United-States-of-America,colin-wilson jim-morris lindsey-collins andrew-stanton
5,258,en,139.0,Spider-Man 3,559,seemingli invinc spiderman goe allnew crop villain includ shapeshift sandman spiderman superpow alter alien organ alter ego peter parker deal nemesi eddi brock also get caught love triangl,the seemingly invincible spiderman goes up against an allnew crop of villain  including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,5.9,dual-identity amnesia sandstorm love-of-one's-life forgiveness spider wretch death-of-a-friend egomania sand narcism hostility marvel-comic sequel superhero revenge,fantasy action adventure,tobey-maguire kirsten-dunst james-franco thomas-haden-church topher-grace,sam-raimi,laura-ziskin avi-arad grant-curtis,English Français,columbia-pictures laura-ziskin-productions,United-States-of-America,laura-ziskin avi-arad grant-curtis sam-raimi
6,260,en,100.0,Tangled,38757,kingdom wantedand charmingbandit flynn rider hide mysteri tower he taken hostag rapunzel beauti feisti towerbound teen 70 feet magic golden hair flynn curiou captor who look ticket tower she lock away year strike deal handsom thief unlik duo set actionpack escapad complet supercop hors overprotect chameleon gruff gang pub thug,when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs,7.4,hostage magic horse fairy-tale musical princess animation tower blonde-woman selfishness healing-power based-on-fairy-tale duringcreditsstinger healing-gift animal-sidekick,animation family,zachary-levi mandy-moore donna-murphy ron-perlman m.c.-gainey,byron-howard,roy-conli,English,walt-disney-pictures walt-disney-animation-studios,United-States-of-America,roy-conli byron-howard
7,280,en,141.0,Avengers: Age of Ultron,99861,toni stark tri jumpstart dormant peacekeep program thing go awri earth mightiest hero put ultim test fate planet hang balanc villain ultron emerg aveng stop enact terribl plan soon uneasi allianc unexpect action pave way epic uniqu global adventur,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,7.4,marvel-comic sequel superhero based-on-comic-book vision superhero-team duringcreditsstinger marvel-cinematic-universe 3d,action adventure science-fiction,robert-downey-jr. chris-hemsworth mark-ruffalo chris-evans scarlett-johansson,joss-whedon,kevin-feige,English,marvel-studios prime-focus,United-States-of-America,kevin-feige joss-whedon
8,250,en,153.0,Harry Potter and the Half-Blood Prince,767,harri begin sixth year hogwart discov old book mark properti halfblood princ begin learn lord voldemort dark past,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past,7.4,witch magic broom school-of-witchcraft wizardry apparition teenage-crush werewolf,adventure fantasy family,daniel-radcliffe rupert-grint emma-watson tom-felton michael-gambon,david-yates,david-heyman david-barron tim-lewis,English,warner-bros. heyday-films,United-Kingdom United-States-of-America,david-heyman david-barron tim-lewis david-yates
9,250,en,151.0,Batman v Superman: Dawn of Justice,209112,fear action godlik super hero left uncheck gotham citi formid forc vigilant take metropoliss rever modernday savior world wrestl sort hero realli need batman superman war one anoth new threat quickli aris put mankind greater danger ever known,fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before,5.8,dc-comics vigilante superhero based-on-comic-book revenge super-powers clark-kent bruce-wayne dc-extended-universe,action adventure fantasy,ben-affleck henry-cavill gal-gadot amy-adams jesse-eisenberg,zack-snyder,charles-roven deborah-snyder,English,dc-comics atlas-entertainment,United-States-of-America,charles-roven deborah-snyder zack-snyder
10,270,en,154.0,Superman Returns,1452,superman return discov 5year absenc allow lex luthor walk free closest felt abandon move luthor plot ultim reveng could see million kill chang face planet forev well rid man steel,superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,5.4,saving-the-world dc-comics invulnerability sequel superhero based-on-comic-book kryptonite super-powers superhuman-strength lex-luthor,adventure fantasy action science-fiction,brandon-routh kevin-spacey kate-bosworth james-marsden parker-posey,bryan-singer,jon-peters gilbert-adler bryan-singer,English Français Deutsch,dc-comics legendary-pictures,United-States-of-America,jon-peters gilbert-adler bryan-singer
11,200,en,106.0,Quantum of Solace,10764,quantum solac continu adventur jame bond casino royal betray vesper woman love 007 fight urg make latest mission person pursu determin uncov truth bond interrog mr white reveal organ blackmail vesper far complex danger anyon imagin,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,6.1,killing undercover secret-agent british-secret-service,adventure action thriller crime,daniel-craig olga-kurylenko mathieu-amalric judi-dench giancarlo-giannini,marc-forster,barbara-broccoli michael-g.-wilson,English Español Italiano Français Deutsch,eon-productions,United-Kingdom United-States-of-America,barbara-broccoli michael-g.-wilson marc-forster
12,200,en,151.0,Pirates of the Caribbean: Dead Man's Chest,58,captain jack sparrow work way blood debt ghostli davey jone also attempt avoid etern damnat,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,7.1,witch fortune-teller bondage exotic-island monster captain card-game east-india-trading-company compass ship daughter pirate swashbuckler aftercreditsstinger,adventure fantasy action,johnny-depp orlando-bloom keira-knightley stellan-skarsgård bill-nighy,gore-verbinski,jerry-bruckheimer peter-kohn pat-sandston,English Türkçe ελληνικά 普通话,walt-disney-pictures jerry-bruckheimer-films,Jamaica United-States-of-America Bahamas Dominica,jerry-bruckheimer peter-kohn pat-sandston gore-verbinski
13,255,en,149.0,The Lone Ranger,57201,texa ranger chase gang outlaw led butch cavendish gang ambush ranger seemingli kill one survivor found howev american indian name tonto nurs back health ranger don mask ride white stallion name silver team tonto bring unscrupul gang other ilk justic,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,5.9,texas horse survivor texas-ranger partner outlaw escape lawyer train lone-ranger comanche the-lone-ranger tonto,action adventure western,johnny-depp armie-hammer william-fichtner helena-bonham-carter james-badge-dale,gore-verbinski,gore-verbinski jerry-bruckheimer,English,walt-disney-pictures jerry-bruckheimer-films,United-States-of-America,gore-verbinski jerry-bruckheimer
14,225,en,143.0,Man of Steel,49521,young boy learn extraordinari power earth young man journey discov came sent hero must emerg save world annihil becom symbol hope mankind,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,6.6,saving-the-world dc-comics superhero based-on-comic-book superhuman alien-invasion reboot super-powers dc-extended-universe,action adventure fantasy science-fiction,henry-cavill amy-adams michael-shannon kevin-costner diane-lane,zack-snyder,charles-roven christopher-nolan emma-thomas deborah-snyder,English,legendary-pictures warner-bros.,United-Kingdom United-States-of-America,charles-roven christopher-nolan emma-thomas deborah-snyder zack-snyder
15,225,en,150.0,The Chronicles of Narnia: Prince Caspian,2454,one year incred adventur lion witch wardrob peter edmund luci susan pevensi return narnia aid young princ whose life threaten evil king miraz help color cast new charact includ trufflehunt badger nikabrik dwarf pevensi clan embark incred quest ensur narnia return right heir,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,6.3,based-on-novel fictional-place brother-sister-relationship lion human-being wretch leap-in-time matter-of-life-and-death faith uncle narnia fantasy-world,adventure family fantasy,ben-barnes william-moseley anna-popplewell skandar-keynes georgie-henley,andrew-adamson,mark-johnson andrew-adamson philip-steuer,English,walt-disney walden-media,Czech-Republic Poland Slovenia United-States-of-America,mark-johnson andrew-adamson philip-steuer
16,220,en,143.0,The Avengers,24428,unexpect enemi emerg threaten global safeti secur nick furi director intern peacekeep agenc known shield find need team pull world back brink disast span globe dare recruit effort begin,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,7.5,new-york shield marvel-comic superhero based-on-comic-book alien-invasion superhero-team aftercreditsstinger duringcreditsstinger marvel-cinematic-universe,science-fiction action adventure,robert-downey-jr. chris-evans mark-ruffalo chris-hemsworth scarlett-johansson,joss-whedon,kevin-feige,English,paramount-pictures marvel-studios,United-States-of-America,kevin-feige joss-whedon
17,380,en,136.0,Pirates of the Caribbean: On Stranger Tides,1865,captain jack sparrow cross path woman past he sure love she ruthless con artist who use find fabl fountain youth forc aboard queen ann reveng ship formid pirat blackbeard jack find unexpect adventur doesnt know fear blackbeard woman past,captain jack sparrow crosses paths with a woman from his past and hes not sure if its love  or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past,6.5,sea captain mutiny sword prime-minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,adventure action fantasy,johnny-depp penélope-cruz ian-mcshane kevin-mcnally geoffrey-rush,rob-marshall,jerry-bruckheimer,English Español,walt-disney-pictures jerry-bruckheimer-films,United-States-of-America,jerry-bruckheimer rob-marshall
18,225,en,106.0,Men in Black 3,41154,agent j smith k tommi lee jone backin time j seen inexplic thing 15 year men black noth even alien perplex much wri retic partner ks life fate planet put stake agent j travel back time put thing right j discov secret univers k never told secret reveal team young agent k josh brolin save partner agenc futur humankind,agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him  secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,6.2,time-travel time-machine alien fictional-government-agency seeing-the-future changing-history,action comedy science-fiction,will-smith tommy-lee-jones josh-brolin michael-stuhlbarg emma-thompson,barry-sonnenfeld,walter-f.-parkes laurie-macdonald,English,amblin-entertainment media-magik-entertainment,United-States-of-America,walter-f.-parkes laurie-macdonald barry-sonnenfeld
19,250,en,144.0,The Hobbit: The Battle of the Five Armies,122917,immedi event desol smaug bilbo dwarv tri defend erebor mountain treasur other claim men ruin laketown elv mirkwood meanwhil armi orc led azog defil march erebor fuel rise dark lord sauron dwarv elv men must unit hope middleearth fall bilbo hand,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands,7.1,corruption elves dwarves orcs middle-earth-(tolkien) hobbit dragon battle unlikely-friendship epic-battle sword-and-sorcery,action adventure fantasy,martin-freeman ian-mckellen richard-armitage ken-stott graham-mctavish,peter-jackson,peter-jackson fran-walsh carolynne-cunningham zane-weiner,English,wingnut-films new-line-cinema,New-Zealand United-States-of-America,peter-jackson fran-walsh carolynne-cunningham zane-weiner
20,215,en,136.0,The Amazing Spider-Man,1930,peter parker outcast high schooler abandon parent boy leav rais uncl ben aunt may like teenag peter tri figur got person today peter discov mysteri briefcas belong father begin quest understand parent disappear lead directli oscorp lab dr curt connor father former partner spiderman set collis cours connor alter ego lizard peter make lifealt choic use power shape destini becom hero,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance  leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero,6.5,loss-of-father vigilante serum marvel-comic scientific-experiment spider-bite masked-vigilante reboot super-powers genetic-engineering social-outcast duringcreditsstinger,action adventure fantasy,andrew-garfield emma-stone rhys-ifans denis-leary campbell-scott,marc-webb,laura-ziskin avi-arad matt-tolmach,English,columbia-pictures laura-ziskin-productions,United-States-of-America,laura-ziskin avi-arad matt-tolmach marc-webb
21,200,en,140.0,Robin Hood,20662,soldier robin happen upon die robert loxley promis return man sword famili nottingham assum robert ident romanc widow marion draw ire town sheriff king john henchman godfrey,when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey,6.2,robin-hood archer knight sherwood-forest bow-and-arrow middle-ages medieval king-of-england,action adventure,russell-crowe cate-blanchett max-von-sydow william-hurt mark-strong,ridley-scott,brian-grazer ridley-scott russell-crowe,English ภาษาไทย,imagine-entertainment universal-pictures,United-Kingdom United-States-of-America,brian-grazer ridley-scott russell-crowe
