movie_id,budget (in Million),original_language,runtime,title,rating,keywords,genres,cast,director,producer,spoken_languages,production_companies,production_countries
19995,237,en,162.0,Avatar,7.3,"Culture Clash,Future,Space War,Space Colony,Society,Space Travel,Futuristic,Romance,Space,Alien,Tribe,Alien Planet,Cgi,Marine,Soldier,Battle,Love Affair,Anti War,Power Relations,Mind And Soul,3D","Action,Adventure,Fantasy,Science Fiction","Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez",James Cameron,James Cameron,"English,Español","Ingenious Film Partners,Twentieth Century Fox Film Corporation","United States Of America,United Kingdom"
285,300,en,169.0,Pirates of the Caribbean: At World's End,7.0,"Ocean,Drug Abuse,Exotic Island,East India Trading Company,Love Of One'S Life,Traitor,Shipwreck,Strong Woman,Ship,Alliance,Calypso,Afterlife,Fighter,Pirate,Swashbuckler,Aftercreditsstinger","Adventure,Fantasy,Action","Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Chow Yun Fat",Gore Verbinski,Jerry Bruckheimer,English,"Walt Disney Pictures,Jerry Bruckheimer Films",United States Of America
206647,245,en,148.0,Spectre,6.3,"Spy,Based On Novel,Secret Agent,Sequel,Mi6,British Secret Service,United Kingdom","Action,Adventure,Crime","Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,Monica Bellucci",Sam Mendes,Barbara Broccoli,"Français,English,Español,Italiano,Deutsch","Columbia Pictures,Danjaq","United Kingdom,United States Of America"
49026,250,en,165.0,The Dark Knight Rises,7.7,"Dc Comics,Crime Fighter,Terrorist,Secret Identity,Burglar,Hostage Drama,Time Bomb,Gotham City,Vigilante,Cover Up,Superhero,Villainess,Tragic Hero,Terrorism,Destruction,Catwoman,Cat Burglar,Imax,Flood,Criminal Underworld,Batman","Action,Crime,Drama,Thriller","Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy",Christopher Nolan,Charles Roven,English,"Legendary Pictures,Warner Bros.",United States Of America
49529,260,en,132.0,John Carter,6.1,"Based On Novel,Mars,Medallion,Space Travel,Princess,Alien,Steampunk,Martian,Escape,Edgar Rice Burroughs,Alien Race,Superhuman Strength,Mars Civilization,Sword And Planet,19Th Century,3D","Action,Adventure,Science Fiction","Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church",Andrew Stanton,Colin Wilson,English,Walt Disney Pictures,United States Of America
559,258,en,139.0,Spider-Man 3,5.9,"Dual Identity,Amnesia,Sandstorm,Love Of One'S Life,Forgiveness,Spider,Wretch,Death Of A Friend,Egomania,Sand,Narcism,Hostility,Marvel Comic,Sequel,Superhero,Revenge","Fantasy,Action,Adventure","Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace",Sam Raimi,Laura Ziskin,"English,Français","Columbia Pictures,Laura Ziskin Productions",United States Of America
38757,260,en,100.0,Tangled,7.4,"Hostage,Magic,Horse,Fairy Tale,Musical,Princess,Animation,Tower,Blonde Woman,Selfishness,Healing Power,Based On Fairy Tale,Duringcreditsstinger,Healing Gift,Animal Sidekick","Animation,Family","Zachary Levi,Mandy Moore,Donna Murphy,Ron Perlman,M.C. Gainey",Byron Howard,Roy Conli,English,"Walt Disney Pictures,Walt Disney Animation Studios",United States Of America
99861,280,en,141.0,Avengers: Age of Ultron,7.4,"Marvel Comic,Sequel,Superhero,Based On Comic Book,Vision,Superhero Team,Duringcreditsstinger,Marvel Cinematic Universe,3D","Action,Adventure,Science Fiction","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson",Joss Whedon,Kevin Feige,English,"Marvel Studios,Prime Focus",United States Of America
767,250,en,153.0,Harry Potter and the Half-Blood Prince,7.4,"Witch,Magic,Broom,School Of Witchcraft,Wizardry,Apparition,Teenage Crush,Werewolf","Adventure,Fantasy,Family","Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon",David Yates,David Heyman,English,"Warner Bros.,Heyday Films","United Kingdom,United States Of America"
209112,250,en,151.0,Batman v Superman: Dawn of Justice,5.8,"Dc Comics,Vigilante,Superhero,Based On Comic Book,Revenge,Super Powers,Clark Kent,Bruce Wayne,Dc Extended Universe","Action,Adventure,Fantasy","Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg",Zack Snyder,Charles Roven,English,"Dc Comics,Atlas Entertainment",United States Of America
1452,270,en,154.0,Superman Returns,5.4,"Saving The World,Dc Comics,Invulnerability,Sequel,Superhero,Based On Comic Book,Kryptonite,Super Powers,Superhuman Strength,Lex Luthor","Adventure,Fantasy,Action,Science Fiction","Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Parker Posey",Bryan Singer,Jon Peters,"English,Français,Deutsch","Dc Comics,Legendary Pictures",United States Of America
10764,200,en,106.0,Quantum of Solace,6.1,"Killing,Undercover,Secret Agent,British Secret Service","Adventure,Action,Thriller,Crime","Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini",Marc Forster,Barbara Broccoli,"English,Español,Italiano,Français,Deutsch",Eon Productions,"United Kingdom,United States Of America"
58,200,en,151.0,Pirates of the Caribbean: Dead Man's Chest,7.1,"Witch,Fortune Teller,Bondage,Exotic Island,Monster,Captain,Card Game,East India Trading Company,Compass,Ship,Daughter,Pirate,Swashbuckler,Aftercreditsstinger","Adventure,Fantasy,Action","Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Bill Nighy",Gore Verbinski,Jerry Bruckheimer,"English,Türkçe,ελληνικά,普通话","Walt Disney Pictures,Jerry Bruckheimer Films","Jamaica,United States Of America,Bahamas,Dominica"
57201,255,en,149.0,The Lone Ranger,5.9,"Texas,Horse,Survivor,Texas Ranger,Partner,Outlaw,Escape,Lawyer,Train,Lone Ranger,Comanche,The Lone Ranger,Tonto","Action,Adventure,Western","Johnny Depp,Armie Hammer,William Fichtner,Helena Bonham Carter,James Badge Dale",Gore Verbinski,Gore Verbinski,English,"Walt Disney Pictures,Jerry Bruckheimer Films",United States Of America
49521,225,en,143.0,Man of Steel,6.6,"Saving The World,Dc Comics,Superhero,Based On Comic Book,Superhuman,Alien Invasion,Reboot,Super Powers,Dc Extended Universe","Action,Adventure,Fantasy,Science Fiction","Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane",Zack Snyder,Charles Roven,English,"Legendary Pictures,Warner Bros.","United Kingdom,United States Of America"
