movie_id,title,tags
19995,Avatar,culture-clash future space-war space-colony society space-travel futuristic romance space alien tribe alien-planet cgi marine soldier battle love-affair anti-war power-relations mind-and-soul 3d 22nd centuri parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect alien civil en action adventure fantasy science-fiction sam-worthington zoe-saldana sigourney-weaver stephen-lang michelle-rodriguez English Español ingenious-film-partners twentieth-century-fox-film-corporation United-States-of-America United-Kingdom james-cameron
285,Pirates of the Caribbean: At World's End,ocean drug-abuse exotic-island east-india-trading-company love-of-one's-life traitor shipwreck strong-woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger captain barbossa long believ dead come back life head edg earth turner elizabeth swann noth quit seem en adventure fantasy action johnny-depp orlando-bloom keira-knightley stellan-skarsgård chow-yun-fat English walt-disney-pictures jerry-bruckheimer-films United-States-of-America jerry-bruckheimer gore-verbinski
206647,Spectre,spy based-on-novel secret-agent sequel mi6 british-secret-service united-kingdom cryptic messag bond past send trail uncov sinist organ battl polit forc keep secret servic aliv bond peel back layer deceit reveal terribl truth behind spectr en action adventure crime daniel-craig christoph-waltz léa-seydoux ralph-fiennes monica-bellucci Français English Español Italiano Deutsch columbia-pictures danjaq United-Kingdom United-States-of-America barbara-broccoli sam-mendes
49026,The Dark Knight Rises,dc-comics crime-fighter terrorist secret-identity burglar hostage-drama time-bomb gotham-city vigilante cover-up superhero villainess tragic-hero terrorism destruction catwoman cat-burglar imax flood criminal-underworld batman follow death district attorney harvey dent batman assum respons dent crime protect late attorney reput subsequ hunt gotham citi polic depart eight year later batman encount mysteri selina kyle villain bane new terrorist leader overwhelm gotham finest dark knight resurfac protect citi brand enemi en action crime drama thriller christian-bale michael-caine gary-oldman anne-hathaway tom-hardy English legendary-pictures warner-bros. United-States-of-America charles-roven christopher-nolan
49529,John Carter,based-on-novel mars medallion space-travel princess alien steampunk martian escape edgar-rice-burroughs alien-race superhuman-strength mars-civilization sword-and-planet 19th-century 3d john carter warweari former militari captain who inexplic transport mysteri exot planet barsoom mar reluctantli becom embroil epic conflict world brink collaps carter rediscov human realiz surviv barsoom peopl rest hand en action adventure science-fiction taylor-kitsch lynn-collins samantha-morton willem-dafoe thomas-haden-church English walt-disney-pictures United-States-of-America colin-wilson andrew-stanton
559,Spider-Man 3,dual-identity amnesia sandstorm love-of-one's-life forgiveness spider wretch death-of-a-friend egomania sand narcism hostility marvel-comic sequel superhero revenge seemingli invinc spiderman goe allnew crop villain includ shapeshift sandman spiderman superpow alter alien organ alter ego peter parker deal nemesi eddi brock also get caught love triangl en fantasy action adventure tobey-maguire kirsten-dunst james-franco thomas-haden-church topher-grace English Français columbia-pictures laura-ziskin-productions United-States-of-America laura-ziskin sam-raimi
38757,Tangled,hostage magic horse fairy-tale musical princess animation tower blonde-woman selfishness healing-power based-on-fairy-tale duringcreditsstinger healing-gift animal-sidekick kingdom wantedand charmingbandit flynn rider hide mysteri tower he taken hostag rapunzel beauti feisti towerbound teen 70 feet magic golden hair flynn curiou captor who look ticket tower she lock away year strike deal handsom thief unlik duo set actionpack escapad complet supercop hors overprotect chameleon gruff gang pub thug en animation family zachary-levi mandy-moore donna-murphy ron-perlman m.c.-gainey English walt-disney-pictures walt-disney-animation-studios United-States-of-America roy-conli byron-howard
99861,Avengers: Age of Ultron,marvel-comic sequel superhero based-on-comic-book vision superhero-team duringcreditsstinger marvel-cinematic-universe 3d toni stark tri jumpstart dormant peacekeep program thing go awri earth mightiest hero put ultim test fate planet hang balanc villain ultron emerg aveng stop enact terribl plan soon uneasi allianc unexpect action pave way epic uniqu global adventur en action adventure science-fiction robert-downey-jr. chris-hemsworth mark-ruffalo chris-evans scarlett-johansson English marvel-studios prime-focus United-States-of-America kevin-feige joss-whedon
767,Harry Potter and the Half-Blood Prince,witch magic broom school-of-witchcraft wizardry apparition teenage-crush werewolf harri begin sixth year hogwart discov old book mark properti halfblood princ begin learn lord voldemort dark past en adventure fantasy family daniel-radcliffe rupert-grint emma-watson tom-felton michael-gambon English warner-bros. heyday-films United-Kingdom United-States-of-America david-heyman david-yates
209112,Batman v Superman: Dawn of Justice,dc-comics vigilante superhero based-on-comic-book revenge super-powers clark-kent bruce-wayne dc-extended-universe fear action godlik super hero left uncheck gotham citi formid forc vigilant take metropoliss rever modernday savior world wrestl sort hero realli need batman superman war one anoth new threat quickli aris put mankind greater danger ever known en action adventure fantasy ben-affleck henry-cavill gal-gadot amy-adams jesse-eisenberg English dc-comics atlas-entertainment United-States-of-America charles-roven zack-snyder
